orden,comentario,tipo
1,"No les creo nada , ",malo
2,Está bonita la camioneta ,bueno
3,Quiero más información,info
4,:( igual el crédito ha de ser muuuucho ,malo
5,"Quisiera, más información, pero nadie me responde ",info
6,"cuota chica, pero digan la última cuota, de seguro alta",malo
7,"Yo tengo uno claro la versión anterior ,,me ha salido excelente,solo que los repuestos son carisimo 😅 lo tengo hace 6 años conmigo no me ha dado ningún problema",bueno
8,"No lo compres, son fabricados en méxico",malo
9,"🥰❤❣💯, amo esta marca",bueno
10,más IVA? Ni que la weá la uses como camioneta,malo
11,"Cuotas de $174.900 + pie del 49,2% (7 millones app). Finalmente en el mes 49 hay que dar un cuoton de 5 millones. Tremenda oferta… 🤣",malo
12,publicidad engañosa,malo
13,"es mi tesoro, yo tengo uno, y es lo mejor ",bueno
14,"Dan poca información, necesito mayor info",info
15,info por fa,info
16,Los respuestos son demasiados caros,malo
17,excelente! ,bueno
18,Es el mejor auto que he tenido,bueno
19,"se daña a la primera, y los respuestos por las nubes",malo
20,más detalle del valor,info
21,hola yo lo tengo con 10.000km Ningún problema muy contento con la compra viene con mucha seguridad muy suave ..es mecánico,bueno
22,"1 año con 35 mil km un auto de maravilla amigo, saludos",bueno
23,en mayo cumple 2 años mi auto con 35mil km y sigue como el primer día.,bueno
24,Recién pedí una cotización pero me mandaron el valor de las mantenciones.yo quiero saber de cuánto es el pie y de cuánto son las letras y cuántas eso es todo.gradias.,info
25,Servicio técnico muy malo,malo
26,Los respuestos demoran mucho,malo
27,publicidad mentirosa,malo
28,A mí me salió muy bueno el auto,bueno
29,Es muy cómodo y no se me ha dañado,bueno
30,necesito más información ,info
31,Demoran los repuestos,malo
32,"No lo compren, es demasiada cara la reparación",malo
33,poco stok de repuestos,malo
34,"Tiene toda la tecnología, y pantalla táctil ",bueno
35,"Muy recomendable, muy estable en carreteras ",bueno
36,no existen repuestos en el mercado,malo
37,Cuales modelos tienen 3 corridas de asientos? Y con barra superior?,info
38,"Es muy cómodo , pero poco rendimiento de combustible , no lo recomiendo",malo
39,"Yo compré uno, y es muy bueno",bueno
40,Ningún problema hasta ahora ,bueno
41,para cuándo los híbridos ? ,info
42,"Lo más fácil es que coloquen todo los datos técnicos del vehículo, valor con crédito y al contado",info
43,info,info
44,"no lo colocan ,por que quieren venderte el producto más caro y explicártelo y que lo pagues en cuotas y así se aprovechan y al final pagas el doble",malo
45,"No gracias, demasiado caro",malo
46,"Es una buen marca, lo recomiendo ",bueno
47,rinde muy poco el combuestible,malo
48,información,info
49,Excesivamente caro,malo
50,"recomiendo la marca, por los cómodos ",bueno
51,Tiene bajo rendimiento del consumo de gasolina ,malo
52,Se puede realizar compra inteligente!!!!,bueno
53,Me da mucha confianza al manejar ,bueno
54,"Muy mala experiencia , maravillosa si, pero al final la falla que tuvo a 4 meses nos hizo devolverla por nuestra seguridad",malo
55,al parecer los SUV son fabricados en China,malo
56,Tiene mucha comodidad y teconlogía,bueno
57,muy pocos kilómetros rinde por galón,malo
58,"Desde???? Porque no puede ser mas baja la cuota???? Dar mas pie........bajen los intereses, porque la gente termina pagando el doble,",malo
59,el problema que tienen algunas son de embrague,malo
